Model,train-fin-acc,test-fin-acc,train-avg-acc,test-avg-acc,train-test-avg,execution time[s],
[8],0.9482,0.9300,0.9379,0.9255,0.0124,65.76,
[128],1.0000,0.9802,0.9986,0.9792,0.0194,232.95,
[512],1.0000,0.9844,0.9991,0.9828,0.0163,762.39,
"[64,64]",0.9996,0.9761,0.9977,0.9758,0.0219,164.13,
"[128,128]",1.0000,0.9832,0.9984,0.9810,0.0174,256.43,
"[512,512]",0.9997,0.9824,0.9987,0.9831,0.0156,1228.42,
"[64,64,64,64]",1.0000,0.9805,0.9970,0.9762,0.0208,209.46,
"[128,128,128,128]",0.9998,0.9823,0.9979,0.9804,0.0176,343.68,
"[256,256,256,256]",0.9990,0.9806,0.9983,0.9821,0.0162,812.95,
"[1024,64,1024]",1.0000,0.9859,0.9984,0.9829,0.0155,2112.01,
"[512,256,128,64]",0.9998,0.9852,0.9985,0.9836,0.0149,1061.26,
"[64,128,256,512]",1.0000,0.9820,0.9977,0.9784,0.0193,548.76,
[256]*8,0.9995,0.9816,0.9977,0.9813,0.0164,1635.6,
[1024*8],0.9988,0.9825,0.9975,0.9821,0.0154,21269.21,
