Epoch,Training Accuracy,Test Accuracy
1,0.9701,0.9626
2,0.9819,0.9713
3,0.9864,0.9756
4,0.9889,0.9769
5,0.9881,0.9729
6,0.9902,0.9765
7,0.9918,0.9775
8,0.9939,0.9787
9,0.9934,0.9772
10,0.9956,0.9806
11,0.9956,0.9812
12,0.9952,0.9789
13,0.9938,0.9784
14,0.9929,0.9786
15,0.9978,0.9814
16,0.9971,0.9815
17,0.9967,0.9800
18,0.9972,0.9812
19,0.9895,0.9725
20,0.9969,0.9810
21,0.9970,0.9793
22,0.9978,0.9807
23,0.9947,0.9810
24,0.9978,0.9812
25,0.9981,0.9813
26,0.9987,0.9819
27,0.9984,0.9817
28,0.9972,0.9810
29,0.9994,0.9814
30,0.9981,0.9799
31,0.9969,0.9780
32,0.9981,0.9823
33,0.9980,0.9814
34,0.9977,0.9816
35,0.9974,0.9813
36,0.9993,0.9841
37,0.9996,0.9834
38,0.9974,0.9791
39,0.9974,0.9818
40,0.9988,0.9829
41,0.9992,0.9824
42,0.9995,0.9827
43,0.9984,0.9796
44,0.9978,0.9819
45,0.9990,0.9836
46,0.9982,0.9808
47,0.9977,0.9814
48,0.9992,0.9848
49,0.9989,0.9844
50,0.9991,0.9816
51,0.9992,0.9829
52,0.9974,0.9788
53,0.9976,0.9802
54,0.9996,0.9834
55,0.9991,0.9819
56,0.9987,0.9811
57,0.9990,0.9821
58,0.9986,0.9814
59,0.9967,0.9793
60,0.9992,0.9838
61,0.9986,0.9808
62,0.9990,0.9824
63,0.9990,0.9821
64,0.9995,0.9836
65,0.9979,0.9823
66,0.9993,0.9834
67,0.9997,0.9819
68,0.9997,0.9830
69,0.9982,0.9813
70,0.9997,0.9844
71,0.9995,0.9823
72,0.9983,0.9822
73,0.9996,0.9823
74,0.9987,0.9818
75,0.9991,0.9817
76,0.9998,0.9837
77,0.9990,0.9828
78,0.9993,0.9831
79,0.9993,0.9821
80,0.9987,0.9809
81,0.9993,0.9838
82,0.9997,0.9836
83,0.9996,0.9829
84,0.9993,0.9836
85,0.9992,0.9847
86,0.9994,0.9820
87,0.9995,0.9830
88,0.9993,0.9817
89,0.9991,0.9824
90,0.9999,0.9838
91,0.9980,0.9811
92,0.9994,0.9838
93,0.9998,0.9839
94,0.9998,0.9853
95,0.9994,0.9851
96,0.9989,0.9819
97,0.9980,0.9801
98,0.9998,0.9844
99,0.9997,0.9835
100,0.9978,0.9803
101,0.9983,0.9811
102,0.9995,0.9834
103,0.9998,0.9844
104,0.9995,0.9833
105,0.9974,0.9812
106,0.9995,0.9819
107,0.9991,0.9821
108,0.9997,0.9837
109,0.9994,0.9833
110,0.9998,0.9836
111,0.9992,0.9836
112,0.9993,0.9824
113,0.9990,0.9833
114,0.9993,0.9833
115,0.9991,0.9832
116,0.9998,0.9847
117,0.9998,0.9835
118,0.9991,0.9832
119,0.9993,0.9826
120,0.9998,0.9858
121,0.9996,0.9833
122,0.9993,0.9844
123,1.0000,0.9853
124,0.9987,0.9811
125,0.9993,0.9848
126,0.9998,0.9851
127,0.9977,0.9831
128,0.9952,0.9773
129,0.9996,0.9842
130,0.9993,0.9846
131,0.9997,0.9848
132,0.9998,0.9840
133,0.9992,0.9828
134,0.9994,0.9835
135,0.9998,0.9842
136,0.9996,0.9824
137,0.9999,0.9829
138,0.9999,0.9837
139,0.9968,0.9788
140,0.9996,0.9821
141,0.9992,0.9837
142,0.9994,0.9833
143,0.9996,0.9837
144,0.9997,0.9820
145,0.9991,0.9818
146,0.9991,0.9819
147,0.9989,0.9808
148,0.9998,0.9840
149,0.9998,0.9841
150,0.9999,0.9853
151,0.9994,0.9834
152,0.9984,0.9826
153,0.9996,0.9824
154,0.9997,0.9835
155,0.9969,0.9799
156,0.9993,0.9823
157,0.9995,0.9834
158,1.0000,0.9831
159,0.9997,0.9824
160,0.9997,0.9831
161,0.9996,0.9845
162,0.9997,0.9814
163,0.9996,0.9828
164,0.9992,0.9824
165,0.9995,0.9833
166,0.9995,0.9835
167,0.9997,0.9840
168,1.0000,0.9849
169,0.9999,0.9847
170,0.9991,0.9826
171,0.9992,0.9817
172,0.9996,0.9831
173,0.9994,0.9811
174,0.9999,0.9837
175,0.9999,0.9844
176,0.9989,0.9812
177,0.9990,0.9828
178,0.9996,0.9840
179,0.9998,0.9836
180,0.9996,0.9828
181,0.9999,0.9834
182,0.9995,0.9839
183,0.9993,0.9845
184,0.9999,0.9832
185,0.9999,0.9839
186,0.9995,0.9824
187,0.9991,0.9817
188,0.9994,0.9824
189,0.9984,0.9806
190,1.0000,0.9836
191,0.9999,0.9833
192,0.9992,0.9816
193,0.9995,0.9836
194,0.9993,0.9835
195,0.9989,0.9810
196,0.9994,0.9832
197,0.9992,0.9825
198,0.9998,0.9832
199,0.9997,0.9838
200,0.9990,0.9806
